text,label
Please help me with my card.  It won't activate.,0
I tired but an unable to activate my card.,0
I want to start using my card.,0
How do I verify my new card?,0
I tried activating my plug-in and it didn't piece of work,0
How do i activate my card,0
Can someone assist me with activating my card?,0
My card needs to be activated.,0
I was unable to activate my card.,0
Is my card ready for use or does it need activated and if so how?,0
Help me activate my new card.,0
Do I need a photo ID to activate a my new card?,0
"I just got my new card, how do I activate it?",0
Can I have my card activated?,0
i cant seem to activate card,0
It won't let me activate my card.,0
I tried activation my card and it didn't employment,0
I want to use my card. How do I activate it?,0
Activate my card,0
Can I get some help activating my new card?,0
Is my card activated?,0
I would like to activate my card.,0
Can I call to get my card activated?,0
How can I activate my new card? I didn't recieve any information with it about how to do so.,0
How do I activate my new card I just got?,0
will you be able to activate my card,0
Can I get some help to get me card activated?,0
I want to activate my new card.,0
What would II do if I wanted to activate my new card,0
What needs to be done to activate and use a card?,0
Can I activate my card?,0
I need assistance activating my card?,0
I need assistance with activating my new card.,0
How do I get my card active?,0
What do I have to do to activate my card?,0
What is needed to activate my card?,0
How can my new card be activated?,0
Can you activate my card pls,0
How do I turn on my new card?,0
Please assist me in activating the card.,0
Would you be so kind as to activate my card? Thanks,0
I tried activating my card and it doesn't work how do I solve this problem?,0
Can I activate my card with the app?,0
"I want to start using my card, how do I activate it?",0
What is the process to activate a card,0
"Hi, would you please activate my card?",0
What do I need for activation of my card?,0
"How do I activate my card, so that I can start using it?",0
I need my card activated.,0
I would like to be assisted with the activation of my card.,0
I just received my card and I'd like to activate it.,0
can you assist me in activating my card?,0
How do I activate my card to start using it?,0
Instructions for activating card,0
What do I need to do for the card activation?,0
"I am unable to activate my card, it won't let me.",0
When are you going to activate my card?,0
I need to activate my card.,0
How can I activate my new card?,0
What do I do to activate?,0
What steps do I have to take to activate my card?,0
"My new card just arrived, how can I activate it?",0
I am having trouble activating my card.,0
My card is not able to be activated how do I get it to work?,0
I'm not able to activate my card how do I fix this problem?,0
I cannot activate my card.,0
How can I activate the new card i got?,0
how long should i wait ti activate my card,0
How do I activate a card?,0
What is the procedure for activating this card?,0
My card needs to be activated asap,0
What is the most efficient way to activate my new card?,0
I couldn't complete card activation.,0
Who do I call to activate my new card?,0
"You can activate your card in a few seconds by going to account, hitting activate, and just following the directions.",0
Tell me what I need to do to activate my card.,0
What is the process for activating a new card.,0
My card activation is failing.,0
"I need to activate my card, how is that done?",0
I would like to activate my card what do I need to do?,0
I have my card now how do I activate it?,0
How long does it take to activate my card?,0
How do I activate my card so I can start using it?,0
Explain the activation method for this card,0
Can someone assist me with activating my new card?,0
What is the process for activating my new card?,0
I would like to have assistance with activating my card.,0
Tell me how to renew my new card?,0
My new card came in.  How do I activate?,0
How do I active this card?,0
what are the steps to activate my card?,0
I have a new card and need to activate it,0
I would like to get help from someone in your customer service department with assisting me with activating my card.,0
What are the steps that I need to take to activate a new card?,0
I tried activating my card and it didn't work,0
I need my card to be activated right now.,0
What information do I need to gather in order to activate my card?,0
what do i need to have with me to activate card,0
What am I going to need in order to activate my card?,0
Show me how to activate my card,0
I want to open an account for my children,1
How old do you need to be to use the banks services?,1
Whats the minimum age to have an account,1
Can my children open an account?,1
How old do I need to be?,1
What are age requirements for opening an account?,1
Is there any age limit?,1
We want to start a college fund for my daughter.,1
Hold old do my kids have to be to use the service?,1
Can I start an account for my kids?,1
How old does my daughter have to be to open an account?,1
What is minimum age for an account?,1
What is needed for my daughter to open an account?,1
What about my children?,1
What is the process for setting up and account for my child?,1
Is there an age limit to open an account,1
How old do my kids have to be use this?,1
Can I make an account for my kids?,1
I'd like to open an account for my kids can I do that?,1
Would it be possible to open up an account for children?,1
Do you have any age limit?,1
If I want my son to have his own account is that possible?,1
Could I open an account for children?,1
What does my daughter need to open an account?,1
Can my children get an account?,1
What is the age limit for an account?,1
What age do you have to be?,1
What is the appropriate age for my child to be able to open an account?,1
How do I open an account for my children?,1
What are the requirements to open an account for a minor?,1
are there age requirements,1
Is there an age limit for opening an account?,1
Can my 8 year old grandson open an account at the bank?,1
What is the minimum age required to open an account with your service?,1
"If I want to get an account for my daughter, can I do that?",1
How old do you have to be to open an account?,1
I have young kids. Can they use this service?,1
Do you have an age limit?,1
How old do you have to be?,1
Could my daughter open an account?,1
Can I open an account for my children?,1
What would the age limit be?,1
What are the age requirements for service?,1
I am 16 and just started working at McDonalds can I deposit my checks at your bank?,1
Is there a possibility to open an account for my sons and daughters?,1
Is there an age limit to get an account?,1
what is the age limit for opening a new account,1
Is my daughter eligible to open an account?,1
How do I set up an account for my children?,1
May I get an account for my daughter?,1
What is the minimum age limit?,1
How old must I be to open an account?,1
What is the age limit?,1
Can my children have an account?,1
Is there any way I could open an account for my daughter?,1
Can I get an account for my daughter?,1
How old do you need to be to open an account?,1
Do you offer account services for children and teens?,1
From which age can my kids use your service?,1
What is the youngest age for an account?,1
I have kids and I'm curious at what age could they start to use your service.,1
At what age can I open an account?,1
I'd like to open an account for my children. How can I do that?,1
Can I open up an account for my child?,1
Is there a limit for age?,1
How can I open an account for my children?,1
Do you have a children account available?,1
At what age can my children use your service?,1
I want to open an account for my child.,1
At what age can a person open an account?,1
How old do kids have to be to open an account?,1
What is your age limit?,1
How old do my kids need to be to use your service?,1
I would like to get an account for my child.,1
Would I be able to open an account for my daughter?,1
Can my teenager have an account?,1
What age do you have to be to open an account?,1
How old do my kids need to be to open an account?,1
As my kids get older are they able to get set up with their own accounts?,1
Is there an age limit to when my child can use these services?,1
How many years old do I have to be?,1
Do you have a limit for someone's age?,1
Do you have any accounts for children ?,1
Can my daughter make an account?,1
"I need to set up an account for my daughter, how would I do that?",1
How old can one use your service?,1
Do you have to be 18 to make an account?,1
Would I be able to get an account for my child?,1
Can I get an account for my son?,1
DO I have to be 18 to open an account?,1
Am I allowed to get an account for my daughter?,1
My daughter needs to open account.,1
Can I open an account for my offspring?,1
Do you offer account's for minors?,1
What are the age limits for your service?,1
How old do you need to be to have an account?,1
How old does my daughter need to be to have her own account?,1
"My son has just turned 13, is he old enough for an account?",1
Do you guys have any age restrictions?,1
Is there a minimum age for having an account?,1
"Hi, I have an apple watch. How do I use it to top up my card?",2
Can I use google pay to top up?,2
why top up is not working even if I got my American Express in Apple Bay?,2
Can I deposit money using Apple Pay?,2
Can I use google pay for topping -up,2
I do I top up from my Apple Watch?,2
"I need to top up, can I use google pay?",2
How do I go about topping up with Google Pay?,2
google pay top up did not work,2
Google play top up help?,2
What currencies does google pay top up accept?,2
Can I use my American Express card with Apple Pay?,2
Why can't I get my top up to work in Apple Pay?,2
Can I use my apple watch to top-up?,2
Is top-up possible with Apple Pay?,2
Why isn't my google top-up pay working?,2
What do I do if my Google pay top up isn't working?,2
Can I top up with Google Pay?,2
Am I able to use Apple Pay?,2
"I got my American Express in Apple Pay, why is top up not working in my country?",2
Can I add funds directly from my Apple Watch?,2
"Apple watch top up help, please?",2
"I am having a slight problem with my American express in apple play, can you help me fix the problem with top up?",2
"In regards to top-ups, can I do them via Google Pay?",2
How do you Top Up on the apple watch?,2
Am I able to top up with Apple Pay?,2
Can I use top-up with Apple pay?,2
"I want to top up from my Apple Watch, can I?",2
Can I use the apple watch to make a top-up?,2
"My American express works with my apple pay, why is top up not working?",2
I would like to know if I can top up with Google Pay.,2
Can I top-up via Apple Pay?,2
Can I top up using my apple watch?,2
Why is top up not working for my apple pay app,2
Can I use Apple Pay to top-up?,2
Why doesn't my Google pay top up work?,2
How can I set up Google Pay on my device?,2
Can you show me how to top up with Google play?,2
I seem to be having trouble with my Google Pay Top. Can you please help?,2
Does Google Pay offer a top up option?,2
"I got my American Express in Apple Pay, why is top up not working on my device?",2
How do I get Top Up to work in Apple Pay?,2
is apple pay a top up service?,2
How do I top up using my Apple Watch?,2
I want to top up my account. Can I do it with Google Pay?,2
Can I use my apple watch to top up?,2
"I received my American Express in Apple Pay, is there a reason why top up is not functioning properly?",2
Can I use my Apple Watch to pay for gas?,2
I would like to use top-up with my Apple Pay.,2
how do I get top up to work for my card,2
My google top-up pay is not going through,2
how do i set up my apple pay watch to connect to my account,2
need help with google pay top up,2
My Google pay top up isn't working.,2
"Help me please, My Apple Pay American Express top up does not work.",2
Are top-ups allowed using Apple Pay?,2
Is topping up with Apple Pay possible?,2
what can I do if I got my American Express in Apple Bay but top up is not working?,2
Top up is not working even though I have my AMEX in apple pay.,2
where do I top up my google pay?,2
"Using Google Pay, can I top up?",2
Why is top up not working if I use my American express with my apple pay?,2
Unable to use my American Express with Apple Pay to top up my account,2
Does my top up and apple pay work together?,2
I can't use top up on Google Pay.,2
"I have received my American express in apple play, looks like top up has an issue, please help?",2
Why isn't my google pay top up working?,2
Is it possible for me to top up with Google Pay?,2
Can apple pay handle top up exchanges?,2
Am I able to Top Up with Apply Pay?,2
How do i top up my google pay?,2
I want to top up with my Apple Watch.,2
Could google pay and top up be together?,2
I can't get google pay to work right.,2
Does google play offer the service to Top up?,2
Can I top-up my google pay?,2
Can I use American express with apple pay? Why does it make my top up not work?,2
Can I top up my account with Google Pay?,2
I cannot get my google pay to work.,2
Is there a way to top up using my Apple Watch?,2
I can't get my Google Pay Top to work. Are there any issues on your end?,2
can I top up an apple pay?,2
Can you explain why my Google Pay Top isn't working?,2
Am I able to do top-ups with Google Pay?,2
What are the steps needed to top up with Apple Pay?,2
"i received my American Express in Apple pay, is there a reason why top up is not working?",2
Google Pay Top up isn't working,2
Can you help me get Top Up to work in the Apple Pay function?,2
Will be Apple Watch be able to let me top up?,2
How can I top up with my apple watch?,2
What services can I use to top up?,2
Can an apple watch be used to tup-up?,2
Can I use my Apple watch to fill my gas tank?,2
Why isn't my Google Pay top up working for me? Did I do something wrong?,2
What should I do to top up using my Apple Watch?,2
my google pay seems to be acting up.,2
"top up google pay, is it possible?",2
is it possible to top-up with google pay.,2
how do i setup my apple pay,2
is there a way to do top up with apple pay,2
I can use this card at which ATMs?,3
Can I use the card at any cash machine?,3
What locations can I get money from?,3
What ATMs take this card?,3
Which ATM's can I use to make a withdrawal?,3
Do all ATMs accept this card?,3
Will this card work at any ATM?,3
Which ATMs am I allowed to get money from?,3
Where is the closest ATM to me?,3
Which ATMs accept this bill of fare ?,3
Do I have to use a bank approved ATM to withdraw money?,3
How do I withdraw money?,3
Can I use this card at any ATM?,3
What locations allow me to withdraw money?,3
What ATMs accept my card?,3
Can I use my card to withdraw from my account?,3
Can you tell me where I can withdraw money?,3
What kind of ATMs would this card be accepted at?,3
Are there specific ATM's that I can draw money from?,3
Where can money withdrawals be made?,3
Do I have to use bank approved ATM's,3
Where can I find Mastercard ATMs?,3
What ATMs can I use my card at?,3
What ATM machines allow this card?,3
Where can I do a cash withdrawal?,3
Where should I withdraw money from?,3
Where are the ATMs that accept this card?,3
Is there a way to find an ATM around me?,3
Will any ATM's decline my card?,3
What ATMs can I use my card?,3
What cash stations take this card?,3
"
At which ATMs can I use this card?",3
Please provide me a list of ATMs that accept my card.,3
Can I use my card at an ATM?,3
Where is the closest ATM I can use?,3
Where is the nearest Mastercard ATM?,3
Where can I get money from my card?,3
How can I find an ATM that accepts this card?,3
I need an ATM right now!,3
Which ATMs accept Mastercard?,3
What is the closest ATM?,3
What ATMs use this card?,3
What ATMs can I use this card?,3
Can I get money out of any machine?,3
Is the closest ATM to me within 2 miles?,3
I need to withdraw money. Where can I do that?,3
Can I use my card in another institutions ATM?,3
Where is a ATM that accepts Mastercard?,3
Where are the Mastercard ATMs?,3
Where can I withdraw money from?,3
"
Where can I withdraw money from?",3
Can I use a different bank ATM than my own?,3
need to know places i can withdraw money,3
The card can be used at which ATMs?,3
What's the closest place to withdraw money?,3
Is there a list of ATMs that take this card?,3
Is there a Mastercard ATM nearby?,3
Am I limited to what ATM I can use my card?,3
how do I know where I can get money withdrawn?,3
Tell me what ATMs take this card.,3
Where are the ATMs that I can use Mastercard?,3
Where is an ATM?,3
Which locations can I withdraw money from?,3
Can this card be used at all ATMs?,3
Are there any ATM's near me that accept this card?,3
I need help from someone in your department with finding my nearest ATM.,3
what are the locations i can withdraw money,3
Which ATMs accept this circuit board ?,3
How many ATMs will take this card?,3
What ATMs can I use this card at?,3
Is this card accepted by ATMs?,3
Are there only certain ATM machines where I can use this card?,3
Where can I find a Mastercard ATM?,3
Tell me what ATMs use this card.,3
Which ATMs take the card?,3
How far is the closest ATM from me?,3
Can you tell me the ATMs I can use with my card?,3
Where is a Mastercard ATM?,3
I need to know where I can withdraw money.,3
Are there specific ATM's I can use with this card?,3
Where can I find an ATM?,3
How can I tell if an AMT will take this card?,3
How do I know it is a Mastercard ATM?,3
"ATMs, which ones will accept this card?",3
What ATM locations are near me?,3
What ATM accepts Mastercard?,3
Can I withdraw from any ATM?,3
Can I add money automatically to my account while traveling?,4
i need help finding the auto top up option.,4
What are the maximum amount you can do for auto top-up?,4
I can't find the auto-top up option.,4
Does the auto top-up have any limits?,4
When do i activate auto top-up?,4
Can I have money transferred into my account at different intervals along my trip?,4
"I going to be traveling, can I set up auto top-up if I run low on money?",4
Is there an automatic top up feature?,4
Can I have my account add money automatically in certain intervals?,4
Is there a daily auto top-up limit?,4
How do I access the option to top up?,4
I will be traveling.  Can I add money automatically?,4
How low does the balance have to be before the system updates?,4
Is there a auto top-up option?,4
How do i set up auto top-up?,4
"If there isn't much money left over, will it top-up automatically?",4
Do I need to set a limit on auto top-up?,4
can you top up your account automatically,4
Can I add money to my card automatically during a trip?,4
Is an auto top-up option available?,4
Can I auto top if I'm low on funds?,4
Tell me where I can find the auto top up feature and a little bit about it please.,4
How do I start auto top up?,4
I am inquiring about your auto top up feature.,4
Can i set up an auto top-up?,4
Are there any limit on the auto top-up?,4
Is it possible to do auto top up?,4
is there a way to do automatic top up,4
I would like to top up my account automatically. How do I do that?,4
I want to set up an auto top-up,4
If I don't have much money in the account can I auto top-up?,4
Can I schedule future top ups?,4
Can I set automatic top ups?,4
I need to know the if there is a limit on the amount for auto top-up.,4
Can I set up to my account to automatically top up?,4
Does the app top up automatically?,4
"If there isn't a lot of money left, will it automatically top-up money?",4
In what increments can I top-up my card?,4
Does auto top-up have a limit?,4
If I am running low on credit can I auto top up?,4
Is there an auto top up feature?,4
Is there such thing as an auto top-up option?,4
How can I Use thereto-top option?,4
when i travel can it top up automatically,4
Is there an auto top up option?,4
Where do I find the auto top- up?,4
How can I add money automatically?,4
Where can I located the auto-top up option?,4
"I'm going to travel, can I have it add money automatically in certain intervals?",4
I will be traveling and want money to be added automatically in certain intervals. Is this possible?,4
Do I have to manually top up once I'm too low?,4
How will I know when I can use the auto top-up feature?,4
What are the auto-top up policies?,4
Can I auto-top up?  How do I do it?,4
How do I get refills to my card when I'm traveling?,4
What is the limit on Auto top?,4
How do I auto top-up?,4
Can it add money automatically while travelling,4
Is auto top up a provided service?,4
When the time is right will this automatically replenish my balance?,4
Will money be added automatically when necessary?,4
Can I automatically top-up when traveling?,4
What is the maximum for auto top-up?,4
Is there a way to top-up when it reaches a certain balance?,4
Can I set the account to auto top-up?,4
Are there any hidden limit on the auto top-up?,4
"I am traveling, what can I do to set up auto top-up?",4
"What are my options for topping up, automatic and/or manual?",4
"When I travel, can it automatically add money in certain intervals?",4
Is auto top up available?,4
I want to auto top-up.,4
When I'm traveling is it possible to add money automatically at certain time points?,4
Do you offer auto top ups?,4
Is there a limit on auto top-up?,4
I'm trying to activate the auto-top up function. Where is it?,4
What's the limit for auto top-up?,4
How do I top-up automatically?,4
How do i access the auto top-up option?,4
Where can I find the auto-top up feature?,4
"If my funds are running low, will the app top up automatically?",4
Can I set it up to add money every few days automatically while I am traveling?,4
I want to add money automatically when I travel.,4
Is there a function where I can top-up automatically?,4
Can I use an auto top-up option?,4
Can topping up be automatic?,4
Can I auto top up multiple times?,4
I want to use auto top-up. Is there a limit?,4
Do you have an option for auto top up?,4
How do I activate auto top-up when traveling?,4
Where can I find the auto-top option?,4
What is the maximum times I can auto top-up?,4
How many times can I auto top-up?,4
What are the auto top-up policies?,4
"What, if any, is the limit  for auto top-up?",4
"If my account is low in funds, can I set an auto top-up?",4
Will the system automatically top up itself?,4
Can I get an auto Top-up?,4
Where do I find the auto top up option?,4
What are the restrictions on auto top-up?,4
help my money isnt showing up,5
how do i see what i transferred,5
Hello. Can you help figure out why the recent transfer from my UK bank account isn't showing up?,5
I've made a transfer from France two days ago but I was wondering if international transfers take longer to arrive because it hasn't made it yet.,5
After I transferred money the balance remained the same.,5
Where is the money that I transferred.,5
"About two days ago now, I made a transfer from France but it hasn't arrived yet. Is it possible that the international transfer just takes longer?",5
Why is my balance the same after a transfer?,5
How long will it take for a bank transfer to show up on my account? It's been a couple hours but I havnt seen anything yet. Also it's from a UK account if that makes any difference.,5
The transfer I made isn't reflected in my balance,5
Can you please check my UK Account to make sure everything went alright?  I made the transfer a couple of hours ago.,5
"Hi, I am unable to see transaction in my account which i made couples of hours ago from my UK account. Please help me in this.",5
"Hello I made a bank account transfer from the UK. The transfer was a couple hours ago, nothing has shown up yet.  Can you check to see if everything okay. Please.",5
My balance didn't change after I transferred some money.,5
I've transferred money into my account but the balance is the same,5
Money that I have transferred hasn't arrived yet,5
I made a transfer from France two days ago now but there hasn't made it there yet. Do international transfers take longer?,5
I transferred money but the balance did not update.,5
I am wondering about a transfer from a different country that doesn't show up yet?,5
I just made a transfer from a UK account. How long does that typically take to show up? I just want to make sure it worked alright.,5
I just made a transfer from France 2 days ago. It has not yet reached my bank. Is it possible it takes longer because it was an international transfer?,5
Im going to need to make a transfer from a UK account but I need it to go through ASAP. Is that going to be possible or will it take forever?? Im hoping it will be a couple hours and not a couple weeks.,5
How long before a bank transfer shows up in the account?,5
How soon will my balance be updated to reflect my transfer?,5
My transfer into my account isn't showing up.,5
How can I fix my bank transfer to show up on my bank account?,5
when does my balance update for a transfer,5
There is a transfer not showing on my account.,5
It is common for an international transfer to take 2 days or longer? I made a transfer from France 2 days ago and I have not seen it yet.,5
I did a money transfer to my account and it is not showing there.,5
I was wondering if international transfers take longer than normal because I made a transfer from France a couple of days ago and nothing has happened yet?,5
What's the time frame normally for a UK account transfer? I just made one and it's not showing up anywhere. I want to be sure that everything is good.,5
My latest transfer seems to be missing.,5
Is there a longer processing time for international bank transfers?,5
Balance hasn't been updated following a bank transfer,5
Why isn't the transfer to my account showing up?,5
Where is my money that I transfered?!,5
"The other bank confirmed a transfer I made, but this account is not reflecting it yet.",5
Why can't I see a transfer to my account?,5
"Hi, I made a transfer from France two days ago and thought it would be here by now. Can you give me an update please?",5
My balance doesn't include my latest transfer,5
How long do bank transfers take to clear,5
How long to UK transfers usually take? I made a transfer but it didn't pop up in my history yet. I just want to make sure it went through.,5
I had transferred some money but the balance hasn't changed.,5
My balance was not updated after transferring money.,5
"For you, how long do transfers normally take from a UK account? I completed one just now but nothing appears. I just need to be sure everything is okay.",5
Do international transfers take longer?? I made a transfer from France 2 days ago but it's still not there yet...,5
I am still waiting for a transfer I did,5
How long does it take for a bank transfer to show on my balance?,5
I transferred some funds but I don't see it,5
"How long do transfers to international banks take? I made one to france a couple of days ago, but it's still not there.",5
The money that I have transferred hasn't arrived yet.,5
How long do transfers take to show up in my account?,5
How long does it take for a transfer to post,5
My money hasn't been transferred yet.,5
What is the normal time to make an international transfer? I made one a few days ago that still hasn't arrived.,5
Tell me why my balance did not change when I tranferred cash.,5
I completed a transfer that isn't showing up on my account.,5
How long does transfers take?,5
I did a transfer but the balance is the same.,5
I made a transfer but my balance hasn't been updated,5
I transfered my balance a while back.  Why doesn't my account reflect this?,5
When will I see an updated balance after a transfer?,5
I am still waiting on my bank transfer,5
There is a missing transfer on my account,5
After making a transfer from a UK account it's not showing up. How long do these transfers normally take for you? I want to be certain everything is all right.,5
Can you check if my money has reached my account since it is not showing up yet?,5
Why hasn't my money transfer shown up yet?,5
Please check to see if the band transfer I made a while ago from my UK account has safely arrived.,5
Where is the transfer to my account?,5
"I made a bank transfer earlier from my UK account.  I don't see it yet, can you check the status?",5
Why isn't my balance reflecting a transfer I did?,5
"I made a bank transfer from my UK account today, but it's not showing.  Can you check status?",5
How long do I need to wait to see an update after I make a bank transfer?,5
Why isn't my balance updating?  I did a bank transfer and it isn't current.,5
"Hello, can you please inform me about international transfers? I am expecting a transfer I made from France two days ago and would like to know when it will arrive.",5
I added money through a bank transfer and it is not showing in my balance.,5
when will the balance on my account change form a transfer,5
What is the time frame that transfers normally take from a UK account? I just completed a transfer and nothing shows up. I need to know if everything is alright.,5
I have transferred some money but the balance hasn't changed,5
The balance does not appear to have updated.,5
Why hasn't my account updated to reflect my current balance?,5
